feature_1,target
-2.6841256259695383,0
-2.7141416872943243,0
-2.888990569059296,0
-2.745342855641408,0
-2.7287165365545323,0
-2.2808596328444968,0
-2.820537750740608,0
-2.6261449731466335,0
-2.8863827317805497,0
-2.6727557978209533,0
-2.5069470906518596,0
-2.612755230908723,0
-2.7861092661880162,0
-3.2238037438656493,0
-2.6447503899420366,0
-2.386039033531141,0
-2.6235278752244313,0
-2.648296706254383,0
-2.199820323617585,0
-2.5879863998787718,0
-2.3102562152425206,0
-2.543705228757159,0
-3.2159394156486125,0
-2.3027331822262074,0
-2.3557540491237727,0
-2.5066689069258206,0
-2.4688200731213397,0
-2.5623199061960182,0
-2.6395347153845448,0
-2.6319893872743445,0
-2.7701024260279032,0
-2.849368705043098,0
-2.997406546594905,0
-2.4056144850974865,0
-2.209489237783682,0
-2.714451426757706,0
-2.538148258998943,0
-2.8394621676428486,0
-2.5430857498303965,0
-2.70335978233516,0
1.284825688858347,1
0.9324885323123162,1
1.46430232199139,1
0.18331771995837443,1
1.0881032577116647,1
0.641669084258079,1
1.0950606626324442,1
-0.7491226698296511,1
1.0441318260534338,1
-0.008745404082892705,1
-0.5078408838353177,1
0.5116985574475974,1
0.2649765081120492,1
0.9849345104708904,1
-0.1739253716817668,1
0.9278607809442452,1
0.6602837616969381,1
0.23610499331767265,1
0.9447337280198154,1
0.04522697629870276,1
1.1162831773500494,1
0.35788841799730786,1
1.298183875358915,1
0.9217289224470377,1
0.7148533259114096,1
0.900174373172165,1
1.3320244367220866,1
1.5578021550660681,1
0.8132906498175414,1
-0.3055837780243076,1
0.46480028840378207,1
0.8908151984694488,1
0.23054802355945725,1
-0.7045317592446585,1
0.35698149470104923,1
0.3319344799450583,1
0.376215651066671,1
0.6425760075543376,1
-0.9064698649488312,1
0.29900084187814446,1
2.531192727803628,2
1.415235876703905,2
2.6166760159956866,2
1.9715310530434351,2
2.350005920044639,2
3.397038736053254,2
0.5212322439097798,2
2.932587068993687,2
2.3212288165733774,2
2.9167509667860667,2
1.6617741536365287,2
1.8034019529650909,2
2.1655917960801423,2
1.3461635794584552,2
1.585928223873223,2
1.9044563747934244,2
1.9496890593990672,2
3.4870553642902706,2
3.795645422072882,2
1.3007917126376602,2
2.4278179130660416,2
1.1990011054655634,2
3.499920038924534,2
1.3887661316914661,2
2.275430503872202,2
2.614090473810826,2
1.2585081605114876,2
1.2911320591150197,2
2.123608722773894,2
2.388003016003463,2
2.314154705235598,2
1.9222678009025982,2
1.415235876703905,2
2.563013375077473,2
2.4187461827328223,2
1.9441097945469652,2
1.5271666148145187,2
1.764345717044427,2
1.9009416142184214,2
1.3901888619479141,2
